Code,Scale
1.0.212.327.HCPHPR,Units
1.0.99.327.HCPHPR,Units
1.0.212.327.HVGDER,Units
1.0.99.327.HVGDER,Units
1.0.212.327.HVGDPR,Units
1.0.99.327.HVGDPR,Units
1.0.212.327.HVGNPR,Units
1.0.99.327.HVGNPR,Units
1.0.212.327.HVGTPR,Units
1.0.99.327.HVGTPR,Units
1.0.99.327.OVGDR,Units
3.1.0.327.PLCDR,Units
3.0.0.419.PXGSQ,Units
1.0.99.327.RVGDER,Units
1.0.212.327.RVGDPR,Units
1.0.99.327.RVGDPR,Units
1.0.310.0.UBCABOP,Units
1.0.319.0.UCTREU,Units
1.0.99.0.UCTREU,Billions
1.0.99.327.UDGGLR,Units
1.0.99.327.UDGGR,Units
1.0.0.0.UGSG,Billions
1.0.319.0.UGSG,Units
1.0.99.0.UGSG,Billions
1.0.0.0.UIGG0R,Units
1.0.319.0.UIGG0R,Units
1.0.99.0.UIGG0R,Units
1.0.0.0.UKTGR,Units
1.0.319.0.UKTGR,Units
1.0.99.0.UKTGR,Units
1.0.0.0.UROGR,Units
1.0.319.0.UROGR,Units
1.0.99.0.UROGR,Units
1.0.0.0.UTAF2GR,Units
1.0.319.0.UTAF2GR,Units
1.0.99.0.UTAF2GR,Units
1.0.0.0.UTAFGGR,Units
1.0.319.0.UTAFGGR,Units
1.0.99.0.UTAFGGR,Units
1.0.0.0.UTGCR,Units
1.0.319.0.UTGCR,Units
1.0.99.0.UTGCR,Units
1.0.0.0.UUCGR,Units
1.0.319.0.UUCGR,Units
1.0.99.0.UUCGR,Units
1.0.212.327.UVGDR,Units
1.0.99.327.UVGDR,Units
1.0.212.327.UVGNR,Units
1.0.99.327.UVGNR,Units
1.0.0.0.UYTGEU,Billions
1.0.319.0.UYTGEU,Units
1.0.99.0.UYTGEU,Billions
